id,tweet,class
1,airway usairway almost hour late flight due mechan,negative
2,delta jetblu _justdippin_ drop new video upcom project thetakeov produc yponthebeat,neutral
3,airway usairway nope announc head back gate,negative
4,virgin america virginamerica look forward watch oscar flight home tomorrow might even get someth bubbl drink,positive
5,american americanair mad love nyc,positive
6,delta jetblu disappoint allow bring aircraft approv carseat empti plane cool,negative
7,unit unit understood thank tri reach sooner,positive
8,airway usairway recent move got new licens book flight month ago use old licens need chang,neutral
9,american americanair tpa ord anoth success journey thank hospit,positive
10,southwest southwestair give crew swa high five guy nice land bostonlogan nice done,positive
11,american americanair pictur taken time right totallyconfus,neutral
12,unit unit parryaftab done thnx,positive
13,delta jetblu everi channel abcnetwork kgonzal suppos watch scandal free flyfi sweet,negative
14,airway usairway americanair prepar claim bag lost mani valuabl carri hand,negative
15,southwest southwestair stuck sju sever hour one answer realli tough luv respons bad,negative
16,airway usairway jack_kairi anoth sent wrong line kiosk work thank,negative
17,american americanair thank updat,positive
18,virgin america virginamerica fyi info virginamerica com email address say contact password reset email exist email bounc,negative
19,virgin america virginamerica virgin america fli direct seattl nyc boston,neutral
20,southwest southwestair frustrat idea great crew thank happycustom,positive
21,virgin america virginamerica appli posit flylaxairport wonder guy receiv applic,neutral
22,american americanair realli need anyth saw mention often negat keep good work gratitud,positive
23,unit unit dca ewr flight,neutral
24,airway usairway hope crappi servic improv becom americanairlin angryairtravel winterstorm,negative
25,unit unit airlin chang mileageplus program march,neutral
26,airway usairway,negative
27,american americanair tri book rwrd told couldnt bought tix usair choic bother aadv svc,negative
28,airway usairway got thank,positive
29,southwest southwestair theellenshow imaginedragon destinationdragon,neutral
30,american americanair thank champagn ord nrt celebr tokyomarathon finish,positive
31,southwest southwestair never met favorit band would sooo amaz win destin dragon,neutral
32,virgin america virginamerica glad mention took first virgin flight year back transform experi,positive
33,american americanair cancel flight flight jfk delay hour lost bag worst airlin ever,negative
34,unit unit great hear thankyou much great appreci repli feel much settl,positive
35,unit unit useless respons need function wheelchair custom care form fill,negative
36,unit unit pleas help left ipad air flight nyc pari yesterday cant get touch anyon local,neutral
37,airway usairway big thank ticket agent ute dull washington outstand guest servic get rebook,positive
38,airway usairway get full amount credit account airway credit,neutral
39,southwest southwestair status flight stl aus,neutral
40,airway usairway flight keep get delay cancel flight inform worst custom servic ever,negative
41,unit unit blow,neutral
42,unit unit may hit new status year ive flown sever time year tri book yall everi time,positive
43,southwest southwestair new market song let know think,neutral
44,delta jetblu deal cancel flightl flight sinc last night amp book flight wouldv least like see ella perform lol,negative
45,delta jetblu deal,neutral
46,american americanair book seat dalla live dalla real nice gate agent exit row avail told avail,negative
47,southwest southwestair thank good militari folk cold stloui sure enjoy flight,positive
48,unit unit need get albuquerqu usa cebu philippin provid educ help kid help,neutral
49,unit unit thank help understand reduc price seat sold check prioriti certif,positive
50,southwest southwestair hate guitar player chgd overs extra bag acoust guitar epic fail,negative
51,unit unit know flight detail need explor option unabl site let seem ongo,negative
